Name,Date,Parent item,Sub-item,👤 Assigned to,👥 Teams
Presentations,,,,,
Link db to drone status page,"October 31, 2023 → November 5, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Get Inventory,"September 1, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Draft database schema,"September 10, 2023 → September 16, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research SLAM Algorithms,"October 17, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Integrate Supabase,"October 7, 2023 → October 8, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Find new Navigation camera,"September 18, 2023 → September 28, 2023",,"Test accuracy of Realsense (Tasks/Test%20accuracy%20of%20Realsense%20734a0916d21b4798a14f79db76e04c7d.csv), Untitled (https://www.notion.so/9ce78fca2b0843469b710f3593a3cefc?pvs=21), Researching Better Alternatives to RealSense Camera (Tasks/Researching%20Better%20Alternatives%20to%20RealSense%20Camer%200bc8efd7179f4672b619a34593e8894e.csv)",,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Do we need a part 107 pilot? NO,"February 4, 2024",Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Research how supabase realtime works with ORM,"October 8, 2023 → October 12, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup gql subscriptions,"October 21, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Strip whitespace at end of lines,"November 4, 2023 → November 5, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research SLAM Algorithms,"October 2, 2023 → October 10, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Create tables in supabase,"September 23, 2023 → September 23, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Show past drone path (telemetry) when drone is selected,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Ensure all expected routes return 200,,Basic smoke tests (Tasks/Basic%20smoke%20tests%209f6315827bad4f6d8c1df9ea3c412831.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
How to navigate with other drones in airspace,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Component tests,,Advanced tests (low priotiry) (Tasks/Advanced%20tests%20(low%20priotiry)%20730d22c868a24509848d0bf3d86f7d99.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research new gimbal,"January 23, 2024 → January 27, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Move to Nhost,"November 8, 2023 → November 12, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Flow tests,,Advanced tests (low priotiry) (Tasks/Advanced%20tests%20(low%20priotiry)%20730d22c868a24509848d0bf3d86f7d99.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Show the drone flying along the simulated path,"September 26, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Operating drones without line of sight,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Basic smoke tests,,,"Ensure production builds w/o errors (Tasks/Ensure%20production%20builds%20w%20o%20errors%200f7bd89b618f410eb3f5fd5e527137ae.csv), Ensure dev server runs w/o errors (Tasks/Ensure%20dev%20server%20runs%20w%20o%20errors%202fb2a477aee24887be71027f06dfa5c1.csv), Ensure all expected routes return 200 (Tasks/Ensure%20all%20expected%20routes%20return%20200%20f29acc38c3fe4efe9ca1886e9d5a0781.csv)",,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create signin page,"October 29, 2023 → November 4, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Strip whitespace on empty lines,"November 4, 2023 → November 5, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create VM,"February 3, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Advanced tests (low priotiry),,,"Flow tests (Tasks/Flow%20tests%20017cd42e67b94afbb176ff26dfff2518.csv), Component tests (Tasks/Component%20tests%206254d6b06661400481bd905829358fa4.csv)",,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Get VM account,"September 9, 2023 → September 11, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Show 2D path altitude representation below map,"January 27, 2024 → February 10, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup 3D Tiles server,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Build status page,"September 25, 2023 → November 19, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Ensure dev server runs w/o errors,,Basic smoke tests (Tasks/Basic%20smoke%20tests%209f6315827bad4f6d8c1df9ea3c412831.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Ensure production builds w/o errors,,Basic smoke tests (Tasks/Basic%20smoke%20tests%209f6315827bad4f6d8c1df9ea3c412831.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Capture photos using old drone for 3D map of campus,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Enforce JSDoc,"November 11, 2023 → November 11, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Order new drone parts,"September 27, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Build new drone,"October 1, 2023 → October 4, 2023",,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Make validator library and API for creating flights,"January 14, 2024 → February 9, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Test accuracy of Realsense,"September 24, 2023 → September 28, 2023",Find new Navigation camera (Tasks/Find%20new%20Navigation%20camera%2056b96320657842ecb3160289ade3651c.csv),,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Dockerize app codebase,"September 23, 2023 → September 23, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create Figma of app,"September 19, 2023 → September 23, 2023",,"Untitled (https://www.notion.so/9184504301e24f82953411b5344bec49?pvs=21), Untitled (https://www.notion.so/fda51239b13848038c1a7944c449442a?pvs=21), Untitled (https://www.notion.so/355efb9ab61a43ae8a4b1e950e5826e9?pvs=21), Untitled (https://www.notion.so/370d37888b1b4fbcabb5bd99f32c215d?pvs=21)",,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Minimal code style precomit hook lint,"November 4, 2023 → November 11, 2023",,"Strip whitespace at end of lines (Tasks/Strip%20whitespace%20at%20end%20of%20lines%203162e8e75a9449e3b1761fd0e99f53bd.csv), Strip whitespace on empty lines (Tasks/Strip%20whitespace%20on%20empty%20lines%202d032e925266479cb8f06d5189162dd1.csv), Add spacing around 1-line curly braces (imports) (Tasks/Add%20spacing%20around%201-line%20curly%20braces%20(imports)%206d401d27c21c4849b8b795850952594b.csv), Enforce JSDoc (Tasks/Enforce%20JSDoc%20487c83ebad1c40a99ee0d299e9604213.csv)",,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Fix supabase api access,"September 30, 2023 → October 3, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Legality,,,"Do we need a part 107 pilot? NO (Tasks/Do%20we%20need%20a%20part%20107%20pilot%20NO%205d07e695bc6640229f356e4253d2d043.csv), Operating in Purdue airport airspace (Tasks/Operating%20in%20Purdue%20airport%20airspace%20ea6b467fa1074ee48aa77471a8a025c4.csv), Operating drones without line of sight (Tasks/Operating%20drones%20without%20line%20of%20sight%207f397a137b01406f98666d8031c5b90d.csv), How to navigate with other drones in airspace (Tasks/How%20to%20navigate%20with%20other%20drones%20in%20airspace%200c4554581ec24f899dc4b9141cee215c.csv), Certifying a drone to fly over people/cars (Tasks/Certifying%20a%20drone%20to%20fly%20over%20people%20cars%20bf15c05297d942cc8bc72ff64e3fc1cd.csv), Part 135 for package delivery drones (Tasks/Part%20135%20for%20package%20delivery%20drones%20061f220e47d143e383b7dfe7c5a54bb1.csv)",,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Draft drawing of app views,"September 9, 2023 → September 15, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
GQL code generation,"October 21, 2023 → October 22, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research row level security,"November 4, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Creating path: modify height,"November 28, 2023 → December 2, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Researching Better Alternatives to RealSense Camera,"September 18, 2023 → September 23, 2023",Find new Navigation camera (Tasks/Find%20new%20Navigation%20camera%2056b96320657842ecb3160289ade3651c.csv),,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Render drones on map & tooltip,"October 21, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Link db to drones overview page,"October 21, 2023 → October 22, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
How do we connnect the pixihawk to the jetson?,"March 14, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
"Researching Motion profile ","September 16, 2023 → September 23, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Certifying a drone to fly over people/cars,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Setup Keycloak and Hasura JWT,"November 5, 2023 → November 7, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create Bezier curves,,,,,
Add spacing around 1-line curly braces (imports),"November 4, 2023 → November 5, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup SMTP supabase,"September 24, 2023 → September 26, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Fine tune D*,"September 20, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Create Mock Data,"October 21, 2023 → October 22, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Look into robot_localization package for GPS/GNSS implementation,,,,,
Setup Supabase on VM,"September 16, 2023 → September 16, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research how Supabase authentication works,"September 23, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Download Gazbo,"February 3, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Get supabase auth to work,"October 14, 2023 → October 15, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
"When pressing alt or another key, the point being drawn for the drone path should adjust its altitude","January 13, 2024 → January 27, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Operating in Purdue airport airspace,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Re-load planned flight when clicking on drone,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Allow editing waypoints,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
draw drone path on the map,"February 4, 2024 → February 10, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Part 135 for package delivery drones,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Setup NHost CLI,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Buy more server storage,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
setup monorepo,"February 11, 2024",,,Ethan Dawes (People/Ethan%20Dawes%2079bf69fcf0b449cab6f2dfba28de51ad.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Test ZED2,"February 10, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
prevent alt from going into ground,"February 12, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup postgis,"February 18, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Convert points in telemetry and flights tables to PostGIS points,,,,Ethan Dawes (People/Ethan%20Dawes%2079bf69fcf0b449cab6f2dfba28de51ad.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Be able to see past drone locations in the viewer by clicking timeline,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup timescaledb,"February 18, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
add drone follow-along,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
,,,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
,,,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Wire jetson nano to pixhawk,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Wire power distribution board to ESCs,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Test ESCs with motors to make sure they work,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Do we need PWM extension board to control gimbal from PH?,"March 31, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
add reviews for hardware ordered,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Design gimbal frame,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
wire connectors,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
wire escs to pixhawk,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)