Column name,Datatype,Foreign Key,Notes,Primary Key,Table,📁 Table
order_id,int8,No,,Yes,Orders,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
user_id,int8,No,,Yes,Orders,users (Database%20tables/users%2067ef692eed3f4c5e909deff1c3942566.csv)
flight_id,int8,No,,Yes,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
altitude,float8,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
heading,float8,No,radians,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
timestamp,int8,No,epoch format,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
velocity,float8,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
start_lat,float8,No,Each stretch from A to B is a flight (whether or not carrying a package),No,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
start_long,float8,No,,No,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
end_lat,float8,No,,No,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
end_long,float8,No,,No,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
drone_id,int8,Yes,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
drone_id,int8,No,,Yes,Drones,drones (Database%20tables/drones%2001575313231145708e756c85573d9b31.csv)
completion_date,int8,No,date the drone is fully operational. Epoch format,No,Drones,drones (Database%20tables/drones%2001575313231145708e756c85573d9b31.csv)
drone_id,int8,Yes,,No,Flights,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
latitude,float8,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
longitude,float8,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
battery,int2,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
,,No,,No,Drones,
has_package,bool,No,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
flight_id,int8,Yes,,No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
stage_of_flight,enum,No,"idle, in_flight, takeoff, repositioning, etc",No,Drone Telemetry,drone_telemetry (Database%20tables/drone_telemetry%201aa382ace4a5465dbba41b5e3391a056.csv)
user_id,int8,Yes,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
dest_lat,float8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
dest_long,float8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
route,float[][],No,If we want to specify waypoints somehow?,No,,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
order_id,int8,Yes,,No,,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
pickup_lat,float8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
pickup_long,float8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
status,enum,No,"success, progress, failed",No,,flights (Database%20tables/flights%20e6839dcadbbd4312a80c4f892214e288.csv)
completed,bool,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
vendor_id,int8,Yes,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
price,float8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
food_items,int[],No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
name,String,No,,No,,users (Database%20tables/users%2067ef692eed3f4c5e909deff1c3942566.csv)
"email ",String,No,,No,,users (Database%20tables/users%2067ef692eed3f4c5e909deff1c3942566.csv)
role,enum,No,"admin, member, vendor, customer",No,,users (Database%20tables/users%2067ef692eed3f4c5e909deff1c3942566.csv)
provider,String,No,,No,,users (Database%20tables/users%2067ef692eed3f4c5e909deff1c3942566.csv)
placed_at,int8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
confirmed_at,int8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
delivered_at,int8,No,,No,,orders (Database%20tables/orders%20b7782784254e4ddca0e29a66b12504da.csv)
is_active,bool,No,if the drone is still in operations,No,,drones (Database%20tables/drones%2001575313231145708e756c85573d9b31.csv)
is_exists,bool,No,,No,,drones (Database%20tables/drones%2001575313231145708e756c85573d9b31.csv)
id,int8,No,,Yes,,vendors (Database%20tables/vendors%2029cec993d1d34e57be679709a54cbb4b.csv)
name,String,No,,No,,vendors (Database%20tables/vendors%2029cec993d1d34e57be679709a54cbb4b.csv)